ID,Count
18288,482.43962701121774
18289,385.0120623013182
18290,325.83879130275005
18291,269.22895235700315
18292,226.61082280993242
18293,202.85406622676328
18294,218.12320497617674
18295,252.96530485131143
18296,291.3053320761155
18297,376.4301376027431
18298,534.2998293106004
18299,592.3414179313347
18300,598.6171111175058
18301,529.430165745375
18302,566.0898161061226
18303,558.9396410825343
18304,544.6735844407469
18305,557.3621444346443
18306,571.079506590209
18307,605.9730465734274
18308,582.3191702064244
18309,543.5333287115648
18310,545.5051995214274
18311,532.6108790951968
18312,367.2774196664016
18313,293.1065958625741
18314,248.0584591242761
18315,204.96184265325593
18316,172.51700235680863
18317,154.4311740603982
18318,166.05544695679205
18319,192.58045821504214
18320,221.7684135169357
18321,286.57324540255746
18322,406.7581758428672
18323,450.944771861163
18324,455.7224067629937
18325,403.05094001740315
18326,430.95963788656627
18327,425.51626697382494
18328,414.65563244288785
18329,424.31533142473074
18330,434.7582492429395
18331,461.32242144300807
18332,443.3149150302338
18333,413.7875648992487
18334,415.28873433561625
18335,405.47239158650046
18336,361.6709565465956
18337,288.6323449778668
18338,244.2718647730651
18339,201.8331150204853
18340,169.88354285327733
18341,152.07379341144792
18342,163.520622626857
18343,189.6407315159201
18344,218.38313480132635
18345,282.19872563781973
18346,400.5490418492392
18347,444.0611326905183
18348,448.76583734278086
18349,396.89839670923243
18350,424.3810703336506
18351,419.0207920823024
18352,408.3259443481978
18353,417.8381887270888
18354,428.12169616372785
18355,454.2803682056784
18356,436.54774506962343
18357,407.47112779252666
18358,408.9493819865436
18359,399.28288499610323
18360,510.7169921872354
18361,407.5788791076268
18362,344.9372690693076
18363,285.0093422244769
18364,239.89322464979062
18365,214.74400682652433
18366,230.90811976165162
18367,267.79242912063864
18368,308.379690797162
18369,398.49393972073096
18370,565.6168906401178
18371,627.060486693352
18372,633.704018792461
18373,560.4618001588422
18374,599.2701925847847
18375,591.7009224062917
18376,576.5986855033993
18377,590.0309635179909
18378,604.5523451553872
18379,641.4911096955148
18380,616.4508022345285
18381,575.39159565479
18382,577.4790442651658
18383,563.8289455260136
18384,504.48828770568696
18385,402.60804706225116
18386,340.7304141054583
18387,281.5333682616878
18388,236.9674868609029
18389,212.12498890041687
18390,228.09196431276843
18391,264.5264326315753
18392,304.61869206112897
18393,393.63390759691526
18394,558.7186269922186
18395,619.4128569425937
18396,625.975364523639
18397,553.6264079949051
18398,591.9614932634141
18399,584.4845379046825
18400,569.5664878843835
18401,582.83494583513
18402,597.1792247008019
18403,633.6674840653554
18404,608.9325681963614
18405,568.3741197036738
18406,570.4361097906142
18407,556.952487656883
18408,519.6709981262027
18409,414.7246442964799
18410,350.9847873682198
18411,290.0061905416042
18412,244.0990869788136
18413,218.50894737461044
18414,234.95645319744926
18415,272.48742661913104
18416,313.78627335676947
18417,405.48042569532277
18418,575.5334140287014
18419,638.0542531194463
18420,644.8142611274857
18421,570.2879433339388
18422,609.7767332825396
18423,602.0747569455114
18424,586.7077442059251
18425,600.3755199598838
18426,615.1514937479474
18427,652.7378770713348
18428,627.2585572705416
18429,585.4794913847915
18430,587.6035376168256
18431,573.7141222560464
18432,503.69971045042325
18433,401.97872115630537
18434,340.1978105519405
18435,281.0932969731776
18436,236.59707752746658
18437,211.7934114473888
18438,227.73542851293155
18439,264.112945275629
18440,304.14253557158975
18441,393.01860937494234
18442,557.8452810452949
18443,618.444638447722
18444,624.9968880221056
18445,552.7610218127132
18446,591.0361846270087
18447,583.5709166693093
18448,568.6761853963939
18449,581.9239031150926
18450,596.2457601082805
18451,632.6769838347026
18452,607.9807316820732
18453,567.4856810338342
18454,569.5444479766052
18455,556.0819024030089
18456,491.0015099660103
18457,391.8448928339777
18458,331.62147049630715
18459,274.006973583001
18460,230.6324977150553
18461,206.45412864845338
18462,221.9942496544507
18463,257.4546942183876
18464,296.47514404366495
18465,383.11066423936654
18466,543.7820781666146
18467,602.8537340962048
18468,609.2408023591975
18469,538.8259924106313
18470,576.136243629971
18471,568.8591740516433
18472,554.3399369073542
18473,567.2536814828034
18474,581.2144864292352
18475,616.7272840117215
18476,592.6536209822173
18477,553.1794449961812
18478,555.1863107072309
18479,542.0631540575854
18480,375.8393070365612
18481,299.9394299189276
18482,253.84114129996357
18483,209.7398663432815
18484,176.53867933591116
18485,158.03123833864217
18486,169.92649363136553
18487,197.06984989729844
18488,226.93822815055955
18489,293.25377548433164
18490,416.2404295888814
18491,461.45709344723946
18492,466.34610348332797
18493,412.44677152809163
18494,441.006070591362
18495,435.4358050584416
18496,424.3219898944376
18497,434.20687357396025
18498,444.8932343085795
18499,472.0766644272674
18500,453.64937113550775
18501,423.4336861583718
18502,424.96985051397337
18503,414.9246714234316
18504,370.2328401013131
18505,295.46517598929796
18506,250.05454437181032
18507,206.61113658127562
18508,173.90521804019613
18509,155.67385608539183
18510,167.39166757637227
18511,194.13012119756448
18512,223.5529471311208
18513,288.8792527425428
18514,410.03129136966766
18515,454.57344959197894
18516,459.38952932886696
18517,406.2942240328475
18518,434.42749856144485
18519,428.94032574646593
18520,417.9922974921195
18521,427.7297264683409
18522,438.2566767129048
18523,465.0346063975143
18524,446.8821965695439
18525,417.1172447530396
18526,418.63049385069564
18527,408.73516062080597
18528,519.2788791051753
18529,414.41171280308527
18530,350.71995093956673
18531,289.787365662138
